plates mjds fibers
5948 56107 700
4729 55626 591
4446 55589 737
3851 55298 775
4977 56047 211
3735 55209 680
3873 55277 902
5874 56039 265
5484 56039 817
4994 55739 794
7429 56740 299
6276 56269 626
4428 56189 652
3588 55127 499
5133 55860 343
6270 56273 587
5868 56045 853
4633 55620 185
6685 56412 196
3589 55186 320
6404 56330 858
7043 56576 849
3974 55320 626
4317 55480 195
5441 56017 124
4037 55631 915
5401 55949 29
4556 55912 272
3945 55648 316
7127 56566 954
7110 56746 764
5386 56008 421
4300 55528 572
6448 56365 814
4610 55621 664
4322 55503 657
6716 56401 588
5987 56339 859
4311 55506 42
6741 56394 245
6986 56717 309
7326 56710 262
3819 55540 463
7084 56624 429
5999 56089 802
6649 56364 770
5372 55978 466
5730 56607 910
4180 55679 42
4694 55649 76
5952 56453 556
6596 56331 409
4895 55708 824
5866 56035 248
6645 56398 997
5944 56220 730
5146 55831 102
3762 55507 364
6462 56326 746
5981 56340 283
6137 56270 669
6702 56381 188
5777 56280 170
7099 56666 174
3831 55543 852
3864 55649 56
6968 56443 247
4469 55863 719
4462 55600 469
4635 55615 393
6297 56218 708
4197 55479 641
6780 56605 384
5058 56208 878
4848 55955 11
4539 55865 684
5434 56033 923
5714 56660 952
5694 56213 718
4965 55721 202
6188 56208 564
4240 55455 831
4265 55505 581
5807 56329 597
5393 55946 762
4271 55507 698
4216 55477 193
4212 55447 320
4261 55503 333
4273 55506 495
6369 56217 694
7338 56669 324
3770 55234 629
4742 55660 481
5132 55858 775
4669 55831 921
3745 55234 548
6821 56396 100
6821 56396 126
4200 55499 648
6456 56339 923
6828 56430 675
6629 56365 311
4034 55635 997
5426 55987 421
6119 56181 864
4800 55674 757
4547 55893 148
7037 56570 845
4472 55893 66
4262 55482 783
4732 55648 458
4494 55569 506
6683 56416 454
6402 56334 578
4079 55363 512
3656 55241 458
4457 55858 943
4405 55854 203
4220 55447 203
5459 56035 444
5016 55709 210
4342 55531 158
4075 55352 386
5357 55956 207
4079 56425 78
6592 56535 822
4258 55481 80
6149 56194 996
5876 56042 392
5707 56217 955
5389 55953 860
4008 55356 927
7301 56746 578
5493 56009 834
5051 56214 629
4544 55855 612
5372 55978 718
6697 56419 149
5428 56029 660
4576 55592 646
6377 56243 827
5295 55978 424
4487 55866 553
6061 56076 571
5067 55751 560
5178 56246 633
3930 55332 219
7041 56569 565
4978 56036 204
4778 55706 725
3936 55302 450
6800 56399 830
7035 56568 148
4064 55366 165
5170 56063 765
6186 56246 66
5793 56337 538
3681 55243 459
6665 56390 896
7339 56686 102
4371 55830 773
3615 56544 588
7414 56748 139
4496 55544 679
4084 55447 885
6587 56537 937
4056 55357 380
4471 55617 964
4034 55635 860
6291 56209 908
5800 56279 886
3950 55680 663
7254 56625 891
6048 56072 76
6295 56536 142
3952 55330 813
3860 55269 972
7240 56665 352
4741 55704 314
3659 55151 138
5786 56251 347
4566 55630 288
3580 55157 161
6798 56485 422
6381 56353 535
5208 56008 525
6412 56358 70
5783 56017 393
4499 55572 31
6673 56419 542
3853 55268 712
4705 55705 838
3929 55335 671
7138 56572 370
4259 55501 829
3657 55131 959
7248 56630 545
5949 56096 152
6688 56412 327
5128 55912 209
3537 55116 373
6133 56246 405
6122 56246 68
6266 56223 787
3759 55236 300
7237 56662 460
6404 56330 657
5188 55803 899
4831 55679 496
3803 55513 704
7454 56751 916
4983 55836 382
6430 56299 592
6297 56218 7
4961 55719 106
5475 56011 533
7145 56567 960
3849 55274 321
4789 55923 359
4363 55537 456
5191 56065 831
5047 55833 595
3773 55240 17
5970 56046 360
5441 56017 566
5206 56033 795
5779 56338 286
6827 56428 460
5457 55976 893
3940 55327 786
3879 55244 800
4800 55674 296
5427 56001 245
6027 56103 399
4798 55672 785
5362 56017 726
5301 55987 380
4175 55680 207
5353 55980 369
6720 56390 770
5322 56003 989
6684 56412 647
3951 55681 918
5881 56038 459
6754 56414 652
6152 56164 692
6664 56383 517
5800 56279 70
5859 56065 4
6273 56243 872
3821 55535 713
4283 55864 810
6436 56363 797
4789 55923 742
4041 55361 426
6664 56383 396
5063 55831 493
4741 55704 873
5467 55973 248
5131 55835 316
4648 55673 929
5496 55888 423
7261 56603 440
5987 56339 765
5399 55956 457
4835 55688 854
3964 55648 599
5375 55973 337
6489 56329 897
6719 56390 445
5334 55928 230
4649 55621 895
7379 56713 939
7130 56568 563
5976 56356 492
5044 56186 671
3666 55159 836
3552 55089 46
6663 56338 368
5863 56042 942
4509 55574 267
5376 55987 240
3667 55186 320
4080 55368 240
6983 56447 522
4608 55973 675
6510 56486 620
3681 55243 520
6725 56390 307
5806 56310 773
6002 56104 606
3599 55103 351
4354 55810 824
6428 56279 802
6456 56339 520
5311 55956 236
5057 56209 517
5496 55888 290
7453 56749 83
5959 56214 646
5055 55889 314
5018 55734 68
5045 56181 573
4481 55630 480
4511 55602 620
6396 56358 80
